,Filename,Mean_Street_Quality,Distance,Speed,Relevant
1163,Ecosense/bikeride-gps-c678843667e18f0f78b552eeaac0d470def609a5.csv,20.0,9896.0,3.0,True
363,Ecosense/bikeride-gps-79746c15d4e5664a63903bdb1ecee7b3c00e9cee.csv,20.0,3701.0,2.0,True
4,Ecosense/bikeride-gps-a4ec49011b25850b9a01e9a3ea1089220b6ad3ef.csv,21.0,1762.0,6.0,True
141,Ecosense/bikeride-gps-aa3e66cf5aa810e991186c8a701f58cf89b11527.csv,21.0,7796.0,5.0,True
654,Ecosense/bikeride-gps-4a928fab188f58602ecf39dc85e163af6e29d79a.csv,21.0,4113.0,5.0,True
968,Ecosense/bikeride-gps-c78d93ffec28cea542f52eb14b3e1f6b772cd564.csv,21.0,3983.0,5.0,True
1029,Ecosense/bikeride-gps-c2a53f413a084518b5a9f53d6a0253fcf6ec71c3.csv,21.0,2481.0,5.0,True
23,Ecosense/bikeride-gps-970ff0936a34edbf60dabd384390d2376bfbcb76.csv,21.0,2381.0,4.0,True
461,Ecosense/bikeride-gps-0af8e86ce32c3867ae0454325b650975cb24438b.csv,21.0,842.0,4.0,True
640,Ecosense/bikeride-gps-42a261d30aa5e333b24965791ffbfc2a01723cd8.csv,21.0,2497.0,4.0,True
815,Ecosense/bikeride-gps-8ce2f7bc6a8ca68ba26f0eb645df407167780c4b.csv,21.0,4556.0,4.0,True
469,Ecosense/bikeride-gps-0bb2e1b772d737d6cbf919eeba9212c838271179.csv,21.0,1163.0,3.0,True
1209,Ecosense/bikeride-gps-bc7bc605b1f5e990e86b2b8539c803b965555779.csv,21.0,4288.0,3.0,True
251,Ecosense/bikeride-gps-124b8ec707ac3c8d68b13d1f5c6d48225385158e.csv,21.0,1950.0,2.0,True
890,Ecosense/bikeride-gps-c1b12810445e9d2655d120141fec684f5fe85e2d.csv,22.0,1725.0,9.0,True
846,Ecosense/bikeride-gps-9dd103f4888034c371060177c5c31ba6735ae3a3.csv,22.0,2905.0,6.0,True
1101,Ecosense/bikeride-gps-ce9737513ba8347799b54da3cd0079bd5fd23049.csv,22.0,1236.0,5.0,True
66,Ecosense/bikeride-gps-70c05d6cbc8a91a286085a195a3b77728a76cca5.csv,22.0,1118.0,4.0,True
425,Ecosense/bikeride-gps-292df20bf6af690f970b4a6a0ee066b0255e8cc0.csv,22.0,3033.0,4.0,True
994,Ecosense/bikeride-gps-fd0b27dd6bf8536f9718f6663e949065f1ca0793.csv,22.0,1622.0,4.0,True
473,Ecosense/bikeride-gps-0d3344c0f79ef315f45b225e483668f15e10a006.csv,22.0,5083.0,3.0,True
603,Ecosense/bikeride-gps-36a51dc00988c842e595822e93847c44b6914f80.csv,22.0,2183.0,3.0,True
753,Ecosense/bikeride-gps-6c2b4430f5529510ecace22884c876a0fc181f29.csv,22.0,2653.0,3.0,True
355,Ecosense/bikeride-gps-3141680f30d7f34ee1ac79593d663304659a56c4.csv,23.0,1111.0,5.0,True
492,Ecosense/bikeride-gps-11af9775ab79298c2a9dcafcfaa788b43b86cc20.csv,23.0,5137.0,5.0,True
1099,Ecosense/bikeride-gps-b740bb9249eb09167fed6e5ea336eef22f2a9d37.csv,23.0,1073.0,5.0,True
19,Ecosense/bikeride-gps-65facf2055183884bcece3a4e47a9ef4de23481c.csv,23.0,5350.0,4.0,True
579,Ecosense/bikeride-gps-2f2546906493bbaec085bb486c541f7fe8a4dfb9.csv,23.0,2183.0,4.0,True
755,Ecosense/bikeride-gps-6c5e7f03351f138977ca28940584326280bdf0a6.csv,23.0,5750.0,4.0,True
839,Ecosense/bikeride-gps-9d3a625b7fbf295a07d35d83cb8ded2ce74c3d76.csv,23.0,1533.0,4.0,True
6,Ecosense/bikeride-gps-9319c60dace88aa7af7420e586f43e80d8139c89.csv,24.0,3055.0,6.0,True
1170,Ecosense/bikeride-gps-cd6340fbc5816f7adedb83bb3ae98fbd1f841b27.csv,24.0,4543.0,5.0,True
1264,Ecosense/bikeride-gps-ddaed888a4ec1ecc0f9c31bf19715083ce8bfb31.csv,24.0,1459.0,5.0,True
497,Ecosense/bikeride-gps-13c5e6b8e15863c3bbc36a6ca84f8a4d47355837.csv,24.0,7594.0,4.0,True
1188,Ecosense/bikeride-gps-f4723273e779861387ac6ce8927b5785bcae40af.csv,24.0,2790.0,4.0,True
1203,Ecosense/bikeride-gps-c03211d2e4e3699fe29904531b3273b50b11d1d6.csv,24.0,2285.0,4.0,True
521,Ecosense/bikeride-gps-1af4057eaac7929db51877071289391657feb73d.csv,24.0,2007.0,3.0,True
89,Ecosense/bikeride-gps-79faae7718c66c8891df2c111782b7d777033b3e.csv,25.0,1377.0,6.0,True
191,Ecosense/bikeride-gps-637b6fcb7b8862074695490bf0dc29d79518430e.csv,25.0,2081.0,6.0,True
183,Ecosense/bikeride-gps-41339acc332d137171beab54da6f7c78a7f3c2e5.csv,25.0,2023.0,4.0,True
546,Ecosense/bikeride-gps-23fd2d39d734509ca772f93260ce9c5ef535e5cc.csv,25.0,19426.0,4.0,True
679,Ecosense/bikeride-gps-4f2503b6ce7ec6e2f925aadebc836a39a3e71cee.csv,25.0,8313.0,4.0,True
421,Ecosense/bikeride-gps-197d20624ef4b18ab4cb90536df7e0fead18b1da.csv,25.0,2278.0,3.0,True
539,Ecosense/bikeride-gps-1fac9bbc0112716f1ddf68cb8d65d6dc961b7ac7.csv,25.0,1580.0,3.0,True
864,Ecosense/bikeride-gps-c181219c2258e70d5e88d571f4beed39fcea07a9.csv,25.0,5066.0,3.0,True
506,Ecosense/bikeride-gps-16f712513535d53ac6326abb0afaa9947d85cecc.csv,26.0,3023.0,4.0,True
70,Ecosense/bikeride-gps-61203c69c34dc2e7031f6f511ec702351a38902d.csv,26.0,1094.0,3.0,True
397,Ecosense/bikeride-gps-a9273585b0ec5bfd33108d1ede6a32280258c41e.csv,26.0,1548.0,3.0,True
1153,Ecosense/bikeride-gps-baf8ffe913a97a57860f6a7dc664fb4be3591e68.csv,26.0,7167.0,2.0,True
916,Ecosense/bikeride-gps-b632c64e628d1ced3470e225c9f07adaa2461b13.csv,27.0,1580.0,11.0,True
526,Ecosense/bikeride-gps-1bbba06ca483e157b5280681e7675c6af8f0ce0c.csv,27.0,5283.0,6.0,True
